Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
10/06/2024,17.23,18,17.2,17.97,9728149,0.066,0.103,0.10395,0.1043
12/06/2024,18.07,18.56,17.82,17.91,8852803,0.035,0.081,0.09865,0.10354
17/06/2024,16.34,16.545,15.97,16.46,6343354,0.039,0.085,0.09695,0.10392
18/06/2024,16.32,16.58,16.05,16.08,5790334,0.041,0.06,0.09465,0.1026
20/06/2024,15.95,15.99,15.38,15.53,9030329,0.115,0.062,0.09495,0.1031
21/06/2024,15.41,16.045,15.23,15.97,8930177,0.058,0.058,0.0923,0.10462
24/06/2024,15.939,16.855,15.8,16.7,11408410,0.086,0.063,0.0882,0.10428
26/06/2024,15.9,16.69,15.85,16.46,5490778,0.119,0.07,0.0905,0.10464
27/06/2024,16.41,16.765,16.24,16.54,5931193,0.117,0.082,0.0933,0.10472
28/06/2024,16.6,16.66,16.07,16.26,9040985,0.215,0.107,0.09915,0.10716
01/07/2024,16.27,16.35,15.755,15.81,5884618,0.049,0.108,0.097,0.1057
03/07/2024,16.08,16.1,15.72,15.73,3792007,0.284,0.133,0.10615,0.11022
08/07/2024,15.8,16.5298,15.53,16.15,8722576,-0.024,0.128,0.09885,0.10784
09/07/2024,16.04,16.19,15.155,15.52,9844547,0.101,0.125,0.09795,0.10986
10/07/2024,15.6,15.62,15.17,15.38,7037952,0.128,0.127,0.09485,0.1077
15/07/2024,17.37,17.52,16.56,16.93,8460556,0.13,0.114,0.1007,0.10844
18/07/2024,17.99,18.365,16.31,16.37,17032890,0.088,0.12,0.0944,0.10436
19/07/2024,16.18,16.42,15.87,16.21,8332439,0.013,0.081,0.09,0.10124
23/07/2024,16.36,17.105,16.36,16.92,6249174,0.092,0.088,0.09035,0.1007
24/07/2024,16.74,17.18,15.58,15.6,8909483,0.17,0.098,0.0961,0.09976
25/07/2024,15.5,16.69,15.4095,16.18,8194111,0.107,0.095,0.09815,0.09992
29/07/2024,16.73,16.9263,16.305,16.35,4986965,0.089,0.089,0.10085,0.1011
31/07/2024,16.31,17.07,16.14,16.36,8844521,0.083,0.088,0.10305,0.09914
01/08/2024,16.2,16.22,15.15,15.35,10200360,0.075,0.097,0.10475,0.09914
02/08/2024,14.76,15.38,14.48,15.32,12817100,0.07,0.098,0.1025,0.10004
05/08/2024,13.96,14.885,13.91,14.48,12415210,0.118,0.102,0.1055,0.09996
06/08/2024,14.7,14.71,14.1,14.25,8327786,-0.18,0.052,0.0922,0.0952
07/08/2024,14.25,14.85,13.895,13.93,11881820,0.035,0.041,0.088,0.0929
08/08/2024,14.03,14.565,13.94,14.36,18302590,0.05,0.036,0.08465,0.09038
09/08/2024,14.8,16.485,14.68,15.54,35526560,-0.167,0,0.06555,0.08534
