Date,Close,Volume,Open,High,Low,avg,7ma,
06/09/2023,135.36,41785510.00,136.32,137.45,134.61,0.663,0.525,
05/09/2023,137.27,40636740.00,137.73,137.80,135.82,0.541,0.521,
01/09/2023,138.12,40991540.00,139.46,139.96,136.88,0.677,0.676,
31/08/2023,138.01,58781310.00,135.06,138.79,135.00,0.638,0.639,
30/08/2023,135.07,36137020.00,134.93,135.68,133.92,0.635,0.654,
29/08/2023,134.91,38646090.00,133.38,135.14,133.25,0.634,0.666,
28/08/2023,133.14,34108410.00,133.78,133.95,131.85,0.862,0.683,
25/08/2023,133.26,44147450.00,132.47,133.87,130.58,0.416,0.683,
24/08/2023,131.84,43646250.00,136.40,136.78,131.83,0.743,0.73,
23/08/2023,135.52,42801040.00,134.50,135.95,133.22,0.718,0.725,
22/08/2023,134.25,32935100.00,135.08,135.65,133.73,0.75,0.722,
21/08/2023,134.68,41442480.00,133.74,135.19,132.71,0.776,0.718,
18/08/2023,133.22,48497700.00,131.62,134.07,131.15,0.747,0.7,
17/08/2023,133.98,48354090.00,135.46,136.09,133.53,0.707,0.699,
16/08/2023,135.07,36137020.00,134.93,135.68,133.92,0.695,0.704,
15/08/2023,137.67,42781520.00,140.05,141.28,137.23,0.725,0.702,
14/08/2023,140.57,47148700.00,138.30,140.59,137.75,0.779,0.707,
11/08/2023,138.41,42905830.00,137.40,139.33,137.00,0.74,0.706,
10/08/2023,138.56,58928400.00,139.08,140.41,137.49,0.741,0.697,
09/08/2023,137.85,48498910.00,133.90,138.03,133.16,0.682,0.681,
08/08/2023,139.94,51710500.00,140.62,140.84,138.42,0.755,0.684,
07/08/2023,142.22,71213110.00,140.99,142.54,138.95,0.387,0.659,
04/08/2023,139.57,153128500.00,141.06,143.63,139.32,0.678,0.698,
03/08/2023,128.91,91163740.00,127.48,129.84,126.41,0.624,0.69,
02/08/2023,128.21,51027610.00,130.15,130.23,126.82,0.702,0.683,
01/08/2023,131.69,42298930.00,133.55,133.69,131.62,0.583,0.674,
